School,Location,City,Country,Description
AIT: Aquincum Institute of Technology ,"Budapest, Hungary",Budapest,Hungary,"Overview:
Tailored to the needs of North American computer science and software engineering undergraduates in their sophomore through senior years, AIT offers semester-long programs to bridge the gap between the world of academia and business. Classes are taught in English by eminent Hungarian professors, most of whom have had teaching experience in North American universities. Teachers closely monitor each individual student's progress. Considerable time is devoted to problem solving and encouraging student creativity. Emphasis is on depth of understanding rather than on the quantity of material. The academic program is based on a philosophy of small and intimate classes, close collaboration of students and faculty, and hands-on work through group projects.
Minimum GPA:
3.20"
API: Parsons Paris,"Paris, France",Paris,France,"Overview:
Students enrolled at Parsons Paris develop creative and critical thinking skills and apply them to challenges including environmental and economic sustainability and social concerns. Parsons’ network of interconnected design laboratories enables students to explore global phenomena at a number of sites and scales of engagement in on-campus research and initiatives with international partners that focus on urban life in Paris, New York, and elsewhere.
Located in one of the most vibrant creative economies in the world, the program takes full advantage of Paris, offering extraordinary educational, cultural, and professional opportunities for the growing number of students who seek a range of experience in art, design, media, technology, and culture.
Minimum GPA:
3.00"
Ashoka University," Sonipat, India",Sonipat,India,"Overview:
Ashoka University is a leading liberal arts university serving 4,500 domestic and international students. As a Cornell Global Hubs partner, Ashoka fosters high-impact opportunities and international exchange for Cornell students. Ashoka University seeks to provide a multidisciplinary and interdisciplinary education to students, to help them think critically about issues from multiple perspectives in order to become leaders with a commitment to public service. More information about the centers and institutes hosted by Ashoka University are on the Ashoka University website. A residential university, Ashoka boasts an active student life on a modern campus.
Minimum GPA:
3.00"
Berlin Consortium (BCGS) - English Program,"Berlin, Germany",Berlin,Germany,"Overview:
*NOT AVAILABLE IN FALL*
Spend the semester in Berlin --the dynamic and multicultural city at the heart of the EU’s economic and political powerhouse. Begin or expand your study of the German language. Explore your academic interests by enrolling in courses taught in English alongside other international students. Discover contemporary German life and immerse yourself daily in the city’s remarkable history!"
Berlin Consortium for German Studies (BCGS),"Berlin, Germany",Berlin,Germany,"Overview:
Become fully immersed in Germany’s culturally rich capital city while participating in a rigorous academic program. Study in German at Berlin's top universities. Prepare for interdisciplinary study in the German university system through intensive language training. Explore contemporary German life and culture in a dynamic, multicultural city with a vibrant arts scene. Learn from Berlin's advanced knowledge of environmentalism and new technologies.Immerse yourself daily in the city’s remarkable culture and history!
Minimum GPA:
3.00"
Bocconi University - Dyson Exchange,"Milan, Italy",Milan,Italy,"Overview:
Through an exchange agreement between Bocconi University in Milan and the Dyson School of Applied Economics and Management at Cornell, Dyson students may apply to enroll directly at Bocconi for a semester or a year. Founded in 1902, Università Bocconi is considered one of Europe’s leading educational institutions in Economics, Management, Finance, and Law. Bocconi has bilateral agreements with over 260 top-ranked partner schools worldwide and exchanges over 1700 students every year.
Minimum GPA:
2.75"
Bocconi University - Human Ecology Exchange,"Milan, Italy",Milan,Italy,"Overview:
**This program is only available to Human Ecology students**
Università Commerciale Luigi Bocconi, founded in 1902, was the first Italian university to grant a degree in economics. Today, Bocconi is a research university of international standing in business, economics, and law. The university is considered to be among the top 10 business schools in Europe. Bocconi has close relations with major corporations and international agencies, as well as their managers and officials, and constantly interacts with the business and economic environment to assess new issues, implement new techniques, and start new research endeavors. Undergraduate students enrolled in Human Ecology may spend one semester, and in some cases, up to a year, studying at Bocconi University, or Università Commerciale Luigi Bocconi, in Milan, Italy.  Bocconi receives exchange students from partners at 220 universities in 50 countries on all 5 continents.
Minimum GPA:
3.00"
Bologna Consortial Studies Program (BCSP),"Bologna, Italy",Bologna,Italy,"Overview:
**Students who have completed ITAL 2090 may apply.  Students in the College of Arts & Sciences and students who wish to take all of their courses in Italian should have taken ITAL 2095.  More Italian language is always beneficial, but not required. Students should take Italian the semester before studying in Bologna, regardless of level.**
The Bologna Consortium program supports full immersion in Italian life. Students attend a pre-session course in Bologna to improve their command of Italian and facilitate their adjustment to life in Bologna and at the university. They then enroll in one or two regular University of Bologna courses with Italian students.  The program offers special courses in Italian literature, language, culture, art history, film studies, and contemporary politics and history that take place in the program center and incorporate more active learning and excursions. All courses at the program center are taught by University of Bologna faculty in Italian. Students take university courses in Italian or, with permission of their Cornell college, in English. (A&S will consider courses in English only if the course is not also available in Italian and if it is taken for a major other than Italian). Volunteer opportunities are available for students to connect even more deeply with the local community.
Minimum GPA:
3.00"
BU: Geneva Internship Program,"Geneva, Switzerland",Geneva,Switzerland,"Overview:
International Relations and Public Health students have the opportunity to gain valuable real-world experience through the Geneva Internship Program. During the first six weeks of the program, take core classes while preparing for an eight-week professional internship at a local organization, then you will be placed in one of the many humanitarian, political, public health, or economic organizations headquartered in Geneva. Geneva is truly a global city.  Headquarters of the Red Cross and many United Nations agencies, Geneva hosts the highest number of international organizations anywhere in the world.  A worldwide center for diplomacy and finance, Geneva is an ideal place to focus on international relations, public health, or business.
Minimum GPA:
3.00"
BU: Geneva Physics Program,"Geneva, Switzerland",Geneva,Switzerland,"Overview:
From the CERN website: Geneva is the home of CERN, the European Organization for Nuclear Research where physicists and engineers are probing the fundamental structure of the universe. They use the world's largest and most complex scientific instruments to study the basic constituents of matter – the fundamental particles. The particles are made to collide together at close to the speed of light. The process gives the physicists clues about how the particles interact, and provides insights into the fundamental laws of nature. The instruments used at CERN are purpose-built particle accelerators and detectors. Accelerators boost beams of particles to high energies before the beams are made to collide with each other or with stationary targets. Detectors observe and record the results of these collisions.
Minimum GPA:
3.00"
