School,Location,City,Country,,
AIT: Aquincum Institute of Technology ,"Budapest, Hungary",Budapest,Hungary,,
API: Parsons Paris,"Paris, France",Paris,France,,
Ashoka University," Sonipat, India",Sonipat,India,,
Berlin Consortium (BCGS) - English Program,"Berlin, Germany",Berlin,Germany,,
Berlin Consortium for German Studies (BCGS),"Berlin, Germany",Berlin,Germany,,
Bocconi University - Dyson Exchange,"Milan, Italy",Milan,Italy,,
Bocconi University - Human Ecology Exchange,"Milan, Italy",Milan,Italy,,
Bologna Consortial Studies Program (BCSP),"Bologna, Italy",Bologna,Italy,,
BU: Geneva Internship Program,"Geneva, Switzerland",Geneva,Switzerland,,
BU: Geneva Physics Program,"Geneva, Switzerland",Geneva,Switzerland,,
"BU: Sydney Internship ProgramSydney, Australia","Sydney, Australia",Sydney,Australia,,
Budapest Semesters in Mathematics,"Budapest, Hungary",Budapest,Hungary,,
CASA Barcelona,"Barcelona, Spain",Barcelona,Spain,,
CASA Cuba,"Havana, Cuba",Havana,Cuba,,
CASA Dublin: Trinity College Dublin,"Dublin, Ireland",Dublin,Ireland,,
"CASA Granada, Intensive Spanish Language","Granada, Spain",Granada,Spain,,
"CASA Granada, Spanish Language and Culture","Granada, Spain",Granada,Spain,,
CASA Santiago,"Vitacura, Chile",Vitacura,Chile,,
"CASA SevillaSeville, Spain","Seville, Spain",Seville,Spain,,
Central Saint Martins (UAL): Integrated Program,"London, United Kingdom",London,United,Kingdom,
"CET: Beijing, Intensive LanguageBeijing, China","Beijing, China",Beijing,China,,
CET: Florence,"Florence, Italy",Florence,Italy,,
CET: Jordan,"Amman, Jordan",Amman,Jordan,,
CET: Prague,"Prague, Czechia",Prague,Czechia,,
"CET: Prague, Film Production","Prague, Czechia",Prague,Czechia,,
"CET: Shanghai, Chinese Studies & Internship","Shanghai, China",Shanghai,China,,
"Chulalongkorn University (Chula), Thailand","Bangkok, Thailand",Bangkok,Thailand,,
"CIEE: Amsterdam, Social Sciences and Humanities","Amsterdam, Netherlands",Amsterdam,Netherlands,,
"CIEE: Barcelona, Language and Culture","Barcelona, Spain",Barcelona,Spain,,
"CIEE: Paris, Open Campus","Paris, France",Paris,France,,
CIEE: Semester in Madrid,"Madrid, Spain",Madrid,Spain,,
CIEE: University of Cape Town,"Cape Town, South Africa",Cape,Town,South,Africa
City University Hong Kong (CityU),"Hong Kong, Hong Kong",Hong Kong,,,
College Year in Athens - Semester and Academic Year Program,"Athens, Greece",Athens,Greece,,
Comillas-ICAI - Engineering Exchange,"Madrid, Spain",Madrid,Spain,,
Copenhagen Business School,"Copenhagen, Denmark",Copenhagen,Denmark,,
Cornell Prelaw Summer Program in Paris,"Paris, France",Paris,France,,
"Cornell Spring Break Program in Ecuador - Culture, Communities, and Development","Quito, Ecuador",Quito,Ecuador,,
